SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2017-2018,42,PENNSYLVANIA,PA,Eugenio Maria DE Hostos CS,Eugenio Maria De Hostos CS,1,,PA-126513100,4200043,PA-126513100-7564,420004300405,4200405,4322 N 5th Street,3rd Floor,,Philadelphia,PA,19140,,6310 N 2nd Street,,,Philadelphia,PA,19120,,(215)324-7012,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Laboratory CS,Laboratory CS,1,,PA-126513110,4200044,PA-126513110-7565,420004400406,4200406,Administrative Office,5901 Woodbine Avenue,,Philadelphia,PA,19131,,Administrative Office,5901 Woodbine Avenue,,Philadelphia,PA,19131,,(215)452-5580,http://www.thelaboratorycharterschool.com/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Wonderland CS,Wonderland CS,1,,PA-110143310,4200047,PA-110143310-7626,420004700445,4200445,2112 Sandy Drive,,,State College,PA,16803,2282.0,2112 Sandy Drive,,,State College,PA,16803,2282.0,(814)234-5886,http://www.wonderlandcharter.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,110148002.0,State College Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Christopher Columbus CS,Christopher Columbus CS,1,,PA-126513160,4200052,PA-126513160-7575,420005200489,4200489,South Building,1242-46 S 13th St,,Philadelphia,PA,19147,4528.0,South Building,1242-46 S 13th St,,Philadelphia,PA,19147,4528.0,(215)389-6000,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Lincoln CS,Lincoln CS,1,,PA-112673500,4200065,PA-112673500-7675,420006500567,4200567,559 W King Street,,,York,PA,17401,3706.0,559 W King Street,,,York,PA,17401,3706.0,(717)699-1573,http://www.lincolncharterschoolpa.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,112679002.0,York City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Bucks County Montessori CS,Bucks County Montessori CS,1,,PA-122093460,4200069,PA-122093460-7670,420006900562,4200562,219 Tyburn Rd,,,Fairless Hills,PA,19030,,219 Tyburn Rd,,,Fairless Hills,PA,19030,,(215)428-6700,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,122098202.0,Pennsbury SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Souderton CS Collaborative,Souderton CS Collaborative,1,,PA-123463370,4200070,PA-123463370-7638,420007000514,4200514,110 E Broad Street,,,Souderton,PA,18964,,110 E Broad Street,,,Souderton,PA,18964,,(215)721-4560,http://www.scsc4kids.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,123467103.0,Souderton Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Global Leadership Academy CS,Global Leadership Academy CS,1,,PA-126513380,4200073,PA-126513380-7639,420007300515,4200515,4601 Girard Avenue,,,Philadelphia,PA,19131,,4601 Girard Avenue,,,Philadelphia,PA,19131,,(267)295-5700,http://www.glacharter.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Independence CS,Independence CS,1,,PA-126513510,4200087,PA-126513510-7683,420008700584,4200584,1600 Lombard Street,,,Philadelphia,PA,19146,,1600 Lombard Street,,,Philadelphia,PA,19146,,(215)238-8000,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Russell Byers CS,Russell Byers CS,1,,PA-126510001,4200092,PA-126510001-7677,420009200577,4200577,1911 Arch St,,,Philadelphia,PA,19103,1403.0,1911 Arch St,,,Philadelphia,PA,19103,1403.0,(215)972-1700,http://www.byerschool.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,PK,07,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Green Woods CS,Green Woods CS,1,,PA-126510005,4200104,PA-126510005-7748,420010400690,4200690,468 Domino Lane,,,Philadelphia,PA,19128,,468 Domino Lane,,,Philadelphia,PA,19128,,(215)482-6337,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,West Phila. Achievement CES,West Phila. Achievement CES,1,,PA-126510006,4200105,PA-126510006-7722,420010500657,4200657,6701 Callowhill Street,,,Philadelphia,PA,19151,,6701 Callowhill Street,,,Philadelphia,PA,19151,,(215)476-6471,http://www.wpaces.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Wissahickon CS,Wissahickon CS,1,,PA-126510007,4200106,PA-126510007-7724,420010600659,4200659,4700 G Wissahickon Ave,,,Philadelphia,PA,19144,,4700 G Wissahickon Ave,,,Philadelphia,PA,19144,,(267)338-1020,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Infinity CS,Infinity CS,1,,PA-115220001,4200118,PA-115220001-7765,420011800724,4200724,5405 Locust Lane,,,Harrisburg,PA,17109,,5405 Locust Lane,,,Harrisburg,PA,17109,,(717)238-1880,http://www.infinityschool.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,115221402.0,Central Dauphin SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Discovery Charter School,Discovery Charter School,1,,PA-126510011,4200121,PA-126510011-7775,420012100757,4200757,4700 Parkside,,,Philadelphia,PA,19131,,4700 Parkside,,,Philadelphia,PA,19131,,(215)879-8182,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,KIPP Philadelphia Charter School,KIPP Philadelphia Charter School,1,,PA-126510013,4200122,PA-126510013-7776,420012200758,4200758,2539 N. 16th Street,,,Philadelphia,PA,19132,,2539 N. 16th Street,,,Philadelphia,PA,19132,,(267)758-2630,http://www.kippphiladelphia.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Montessori Regional CS,Montessori Regional CS,1,,PA-105250004,4200124,PA-105250004-7800,420012400818,4200818,3750 West 26st Street,,,Erie,PA,16506,,2910 Sterrettania Rd,,,Erie,PA,16506,,(814)833-7771,http://www.mrcserie.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,105252602.0,Erie City SD,105257602.0,Millcreek Township SD,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Bear Creek Community CS,Bear Creek Community CS,1,,PA-118400001,4200126,PA-118400001-7827,420012600848,4200848,30 Charter School Way,,,Bear Creek Township,PA,18702,,30 Charter School Way,,,Bear Creek Township,PA,18702,,(570)820-4070,http://www.bearcreekschool.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,118408852.0,Wilkes-Barre Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Ad Prima CS,Ad Prima CS,1,,PA-126510015,4200129,PA-126510015-7825,420012900846,4200846,Administrative Office,1920 N. 63rd Street,,Philadelphia,PA,19151,,3556 Frankford Avenue,,,Philadelphia,PA,19134,,(215)883-0638,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Philadelphia Montessori CS,Philadelphia Montessori CS,1,,PA-126510016,4200130,PA-126510016-7828,420013000849,4200849,2227 Island Rd,,,Philadelphia,PA,19142,1009.0,2227 Island Rd,,,Philadelphia,PA,19142,1009.0,(215)365-4011,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Khepera CS,Khepera CS,1,,PA-126510017,4200131,PA-126510017-7826,420013100847,4200847,926 W. Sedgley Avenue,,,Philadelphia,PA,19132,,926 W. Sedgley Avenue,,,Philadelphia,PA,19132,,(215)843-1700,http://www.khepera.schoolfusion.us,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Propel CS-McKeesport,Propel CS-McKeesport,1,,PA-103020003,4200134,PA-103020003-7831,420013400867,4200867,3447 East Carson Street,Suite 200,,Pittsburgh,PA,15203,,2412 Versailles Avenue,,,McKeesport,PA,15132,,(412)325-7305,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,103026002.0,McKeesport Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Propel CS-East,Propel CS-East,1,,PA-103020005,4200135,PA-103020005-7848,420013500869,4200869,3447 East Carson Street,Suite 200,,Pittsburgh,PA,15203,,1611 Monroeville Ave,,,Turtle Creek,PA,15145,1652.0,(412)325-7305,http://www.propelschools.org/school_east.php,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,103027352.0,Penn Hills SD,103029902.0,Woodland Hills SD,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Young Scholars of Central PA CS,Young Scholars of Central PA CS,1,,PA-110140001,4200137,PA-110140001-7841,420013700879,4200879,1530 Westerly Parkway,,,State College,PA,16801,,1530 Westerly Parkway,,,State College,PA,16801,,(814)237-9727,http://www.yscp.org/new/index.php,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,110148002.0,State College Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Northwood Academy CS,Northwood Academy CS,1,,PA-126510019,4200139,PA-126510019-7856,420013900894,4200894,4621 Castor Ave,,,Philadelphia,PA,19124,,4621 Castor Ave,,,Philadelphia,PA,19124,,(215)289-5606,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Folk Arts-Cultural Treasures CS,Folk Arts-Cultural Treasures CS,1,,PA-126510021,4200141,PA-126510021-7857,420014100897,4200897,1023 Callowhill St,,,Philadelphia,PA,19123,3709.0,1023 Callowhill St,,,Philadelphia,PA,19123,3709.0,(215)569-2600,http://www.factschool.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Widener Partnership CS,Widener Partnership CS,1,,PA-125230002,4200753,PA-125230002-7907,420075300937,4200937,1450 Edgemont Ave,,,Chester,PA,19013,,1450 Edgemont Ave,,,Chester,PA,19013,,(610)872-1358,http://widenerpartnershipcharterschool.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,125231232.0,Chester-Upland SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Southwest Leadership Academy CS,Southwest Leadership Academy CS,1,,PA-108515107,4200758,PA-108515107-7960,420075806112,4206112,7101 Paschall Ave,,,Philadelphia,PA,19142,,7101 Paschall Ave,,,Philadelphia,PA,19142,,(215)729-1939,http://www.slacs-phila.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Keystone Academy Charter School,Keystone Academy Charter School,1,,PA-182514568,4200762,PA-182514568-7979,420076206103,4206103,4521 Longshore Avenue,,,Philadelphia,PA,19135,,4521 Longshore Avenue,,,Philadelphia,PA,19135,,(215)332-2111,http://www.keystoneacademycs.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Pan American Academy CS,Pan American Academy CS,1,,PA-173515368,4200810,PA-173515368-7985,420081006871,4206871,2830 North American Street,,,Philadelphia,PA,19133,,2830 North American Street,,,Philadelphia,PA,19133,,(215)763-8870,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Environmental Charter School at Frick Pa,Environmental Charter School at Frick Park,1,,PA-199025446,4200812,PA-199025446-8028,420081206819,4206819,829 Milton Street,,,Pittsburgh,PA,15218,,829 Milton Street,,,Pittsburgh,PA,15218,,(412)247-7970,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,102027451.0,Pittsburgh SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Antonia Pantoja Community Charter School,Antonia Pantoja Community Charter School,1,,PA-104510394,4200813,PA-104510394-8031,420081306909,4206909,4101 North American Street,,,Philadelphia,PA,19140,,4101 North American Street,,,Philadelphia,PA,19140,,(215)455-1300,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Vida Charter School,Vida Charter School,1,,PA-141019741,4200814,PA-141019741-8128,420081406994,4206994,Eisenhower Center,120 E Broadway,,Gettysburg,PA,17325,,Eisenhower Center,120 E Broadway,,Gettysburg,PA,17325,,(717)334-3643,http://vidacharterschool.com/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,112013753.0,Gettysburg Area SD,112672803.0,Hanover Public SD,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Franklin Towne Charter Elementary School,Franklin Towne Charter Elementary School,1,,PA-147513703,4200817,PA-147513703-8123,420081706985,4206985,4259 Richmond Street,,,Philadelphia,PA,19137,,4259 Richmond Street,,,Philadelphia,PA,19137,,(215)289-3389,http://www.franklintowne.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Seven Generations Charter School,Seven Generations Charter School,1,,PA-188392660,4200818,PA-188392660-8084,420081807148,4207148,154 E Minor St,,,Emmaus,PA,18049,,154 E Minor St,,,Emmaus,PA,18049,,(610)421-8844,http://www.sevengenerationsschool.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,121392303.0,East Penn SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Todd Lane El Sch,Central Valley SD,1,,PA-127042003,4200824,PA-127042003-8046,420082407329,4207329,113 Todd Ln,,,Monaca,PA,15061,1050.0,113 Todd Ln,,,Monaca,PA,15061,1050.0,(724)775-1050,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,03,05,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Center Grange Primary School,Central Valley SD,1,,PA-127042003,4200824,PA-127042003-8045,420082407339,4207339,225 Center Grange Rd,,,Aliquippa,PA,15001,,225 Center Grange Rd,,,Aliquippa,PA,15001,,(724)775-5600,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,No,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,02,Elementary,As reported
2017-2018,42,PENNSYLVANIA,PA,Universal Daroff Charter School,Universal Daroff Charter School,1,,PA-103519376,4200827,PA-103519376-8146,420082707366,4207366,800 S 15th St,,,Philadelphia,PA,19146,,5630 Vine Street,,,Philadelphia,PA,19139,,(215)732-6518,http://www.universalcompanies.org/DAROFF.html,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
