,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE,SCH_TYPE_TEXT,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state,state_fips,tiger_line,tract,zipcode
20,2017-2018,42,PENNSYLVANIA,PA,Green Woods CS,Green Woods CS,1,,PA-126510005,4200104,PA-126510005-7748,420010400690,4200690,468 Domino Lane,,,Philadelphia,PA,19128,,468 Domino Lane,,,Philadelphia,PA,19128,,(215)482-6337,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,468 Domino Lane,2016,Philadelphia,"-75.23356,40.044678",101,"468 Domino Lane, Philadelphia, PA, 19128",20,Exact,Match,40.044678,-75.23356,"468 DOMINO LN, PHILADELPHIA, PA, 19128",R,PA,42,640223248,021600,19128
21,2017-2018,42,PENNSYLVANIA,PA,West Phila. Achievement CES,West Phila. Achievement CES,1,,PA-126510006,4200105,PA-126510006-7722,420010500657,4200657,6701 Callowhill Street,,,Philadelphia,PA,19151,,6701 Callowhill Street,,,Philadelphia,PA,19151,,(215)476-6471,http://www.wpaces.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported,6701 Callowhill Street,,Philadelphia,,,"6701 Callowhill Street, Philadelphia, PA, 19151",21,,No_Match,,,,,PA,,,,19151
22,2017-2018,42,PENNSYLVANIA,PA,Wissahickon CS,Wissahickon CS,1,,PA-126510007,4200106,PA-126510007-7724,420010600659,4200659,4700 G Wissahickon Ave,,,Philadelphia,PA,19144,,4700 G Wissahickon Ave,,,Philadelphia,PA,19144,,(267)338-1020,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,4700 G Wissahickon Ave,2017,Philadelphia,"-75.17207,40.017376",101,"4700 G Wissahickon Ave, Philadelphia, PA, 19144",22,Exact,Match,40.017376,-75.17207,"4700 WISSAHICKON AVE, PHILADELPHIA, PA, 19144",L,PA,42,131443813,020500,19144
23,2017-2018,42,PENNSYLVANIA,PA,Infinity CS,Infinity CS,1,,PA-115220001,4200118,PA-115220001-7765,420011800724,4200724,5405 Locust Lane,,,Harrisburg,PA,17109,,5405 Locust Lane,,,Harrisburg,PA,17109,,(717)238-1880,http://www.infinityschool.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,115221402.0,Central Dauphin SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,5405 Locust Lane,1009,Harrisburg,"-76.79732,40.292934",043,"5405 Locust Lane, Harrisburg, PA, 17109",23,Exact,Match,40.292934,-76.79732,"5405 LOCUST LN, HARRISBURG, PA, 17109",R,PA,42,70823835,022605,17109
24,2017-2018,42,PENNSYLVANIA,PA,Discovery Charter School,Discovery Charter School,1,,PA-126510011,4200121,PA-126510011-7775,420012100757,4200757,4700 Parkside,,,Philadelphia,PA,19131,,4700 Parkside,,,Philadelphia,PA,19131,,(215)879-8182,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,4700 Parkside,1000,Philadelphia,"-75.21355,39.977814",101,"4700 Parkside, Philadelphia, PA, 19131",24,Non_Exact,Match,39.977814,-75.21355,"4700 PARKSIDE AVE, PHILADELPHIA, PA, 19131",L,PA,42,131442561,011100,19131
25,2017-2018,42,PENNSYLVANIA,PA,KIPP Philadelphia Charter School,KIPP Philadelphia Charter School,1,,PA-126510013,4200122,PA-126510013-7776,420012200758,4200758,2539 N. 16th Street,,,Philadelphia,PA,19132,,2539 N. 16th Street,,,Philadelphia,PA,19132,,(267)758-2630,http://www.kippphiladelphia.org,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,2539 N. 16th Street,,Philadelphia,,,"2539 N. 16th Street, Philadelphia, PA, 19132",25,,No_Match,,,,,PA,,,,19132
26,2017-2018,42,PENNSYLVANIA,PA,Montessori Regional CS,Montessori Regional CS,1,,PA-105250004,4200124,PA-105250004-7800,420012400818,4200818,3750 West 26st Street,,,Erie,PA,16506,,2910 Sterrettania Rd,,,Erie,PA,16506,,(814)833-7771,http://www.mrcserie.org/,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,105252602.0,Erie City SD,105257602.0,Millcreek Township SD,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,2910 Sterrettania Rd,1021,Erie,"-80.13962,42.084335",049,"2910 Sterrettania Rd, Erie, PA, 16506",26,Exact,Match,42.084335,-80.13962,"2910 STERRETTANIA RD, ERIE, PA, 16506",R,PA,42,117495529,010800,16506
27,2017-2018,42,PENNSYLVANIA,PA,Bear Creek Community CS,Bear Creek Community CS,1,,PA-118400001,4200126,PA-118400001-7827,420012600848,4200848,30 Charter School Way,,,Bear Creek Township,PA,18702,,30 Charter School Way,,,Bear Creek Township,PA,18702,,(570)820-4070,http://www.bearcreekschool.com,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,118408852.0,Wilkes-Barre Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,30 Charter School Way,,Bear Creek Township,,,"30 Charter School Way, Bear Creek Township, PA, 18702",27,,No_Match,,,,,PA,,,,18702
28,2017-2018,42,PENNSYLVANIA,PA,Ad Prima CS,Ad Prima CS,1,,PA-126510015,4200129,PA-126510015-7825,420012900846,4200846,Administrative Office,1920 N. 63rd Street,,Philadelphia,PA,19151,,3556 Frankford Avenue,,,Philadelphia,PA,19134,,(215)883-0638,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,3556 Frankford Avenue,2003,Philadelphia,"-75.102036,39.99767",101,"3556 Frankford Avenue, Philadelphia, PA, 19134",28,Exact,Match,39.99767,-75.102036,"3556 FRANKFORD AVE, PHILADELPHIA, PA, 19134",L,PA,42,131427527,018800,19134
29,2017-2018,42,PENNSYLVANIA,PA,Philadelphia Montessori CS,Philadelphia Montessori CS,1,,PA-126510016,4200130,PA-126510016-7828,420013000849,4200849,2227 Island Rd,,,Philadelphia,PA,19142,1009.0,2227 Island Rd,,,Philadelphia,PA,19142,1009.0,(215)365-4011,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,PK,06,Elementary,As reported,2227 Island Rd,4022,Philadelphia,"-75.24615,39.91699",101,"2227 Island Rd, Philadelphia, PA, 19142",29,Exact,Match,39.91699,-75.24615,"2227 ISLAND RD, PHILADELPHIA, PA, 19142",L,PA,42,131408466,006300,19142
30,2017-2018,42,PENNSYLVANIA,PA,Khepera CS,Khepera CS,1,,PA-126510017,4200131,PA-126510017-7826,420013100847,4200847,926 W. Sedgley Avenue,,,Philadelphia,PA,19132,,926 W. Sedgley Avenue,,,Philadelphia,PA,19132,,(215)843-1700,http://www.khepera.schoolfusion.us,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,126515001.0,Philadelphia City SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,926 W. Sedgley Avenue,,Philadelphia,,,"926 W. Sedgley Avenue, Philadelphia, PA, 19132",30,,No_Match,,,,,PA,,,,19132
31,2017-2018,42,PENNSYLVANIA,PA,Propel CS-McKeesport,Propel CS-McKeesport,1,,PA-103020003,4200134,PA-103020003-7831,420013400867,4200867,3447 East Carson Street,Suite 200,,Pittsburgh,PA,15203,,2412 Versailles Avenue,,,McKeesport,PA,15132,,(412)325-7305,,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,103026002.0,McKeesport Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,2412 Versailles Avenue,3002,McKeesport,"-79.8483,40.34569",003,"2412 Versailles Avenue, McKeesport, PA, 15132",31,Exact,Match,40.34569,-79.8483,"2412 VERSAILLES AVE, MCKEESPORT, PA, 15132",R,PA,42,51672672,552300,15132
32,2017-2018,42,PENNSYLVANIA,PA,Propel CS-East,Propel CS-East,1,,PA-103020005,4200135,PA-103020005-7848,420013500869,4200869,3447 East Carson Street,Suite 200,,Pittsburgh,PA,15203,,1611 Monroeville Ave,,,Turtle Creek,PA,15145,1652.0,(412)325-7305,http://www.propelschools.org/school_east.php,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,103027352.0,Penn Hills SD,103029902.0,Woodland Hills SD,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1611 Monroeville Ave,2007,Turtle Creek,"-79.81558,40.409184",003,"1611 Monroeville Ave, Turtle Creek, PA, 15145",32,Exact,Match,40.409184,-79.81558,"1611 MONROEVILLE AVE, TURTLE CREEK, PA, 15145",L,PA,42,51688261,509400,15145
33,2017-2018,42,PENNSYLVANIA,PA,Young Scholars of Central PA CS,Young Scholars of Central PA CS,1,,PA-110140001,4200137,PA-110140001-7841,420013700879,4200879,1530 Westerly Parkway,,,State College,PA,16801,,1530 Westerly Parkway,,,State College,PA,16801,,(814)237-9727,http://www.yscp.org/new/index.php,1,Open,1,Open,03/16/2018,1,Regular School,No,No,Yes,110148002.0,State College Area SD,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,1530 Westerly Parkway,1024,State College,"-77.87496,40.776867",027,"1530 Westerly Parkway, State College, PA, 16801",33,Exact,Match,40.776867,-77.87496,"1530 WESTERLY PKWY, STATE COLLEGE, PA, 16801",L,PA,42,50390393,011501,16801
