,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Incident Address,Address Type,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane)
24,35748686,03/20/2017 11:13:17 AM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,11208,712 LINCOLN AVENUE,ADDRESS,05 BROOKLYN,BROOKLYN,1021372,183970
25,35749175,03/20/2017 12:32:37 PM,03/20/2017 12:32:37 PM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11211,234 KEAP STREET,ADDRESS,01 BROOKLYN,BROOKLYN,996102,196424
26,35749231,03/20/2017 12:06:46 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11358,46-61 161 STREET,ADDRESS,07 QUEENS,QUEENS,1038006,213531
27,20732627,06/28/2011 08:53:00 AM,06/30/2011 12:00:00 PM,DSNY,BCC - Bronx,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,10467,,INTERSECTION,07 BRONX,BRONX,1019758,259418
28,35749233,03/20/2017 12:31:45 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,11222,105 FREEMAN STREET,ADDRESS,01 BROOKLYN,BROOKLYN,996080,206781
29,35749235,03/20/2017 11:06:53 AM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11210,2610 GLENWOOD ROAD,ADDRESS,14 BROOKLYN,BROOKLYN,997629,170098
30,35749236,03/20/2017 11:56:07 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10451,888 GRAND CONCOURSE,ADDRESS,04 BRONX,BRONX,1005615,240409
31,35749258,03/20/2017 05:39:33 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11225,363 HAWTHORNE STREET,ADDRESS,09 BROOKLYN,BROOKLYN,998554,178997
32,35749261,03/20/2017 11:30:05 AM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11212,9502 KINGS HIGHWAY,ADDRESS,17 BROOKLYN,BROOKLYN,1006357,179442
33,35749601,03/20/2017 09:07:03 AM,03/20/2017 09:07:03 AM,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,11222,79 GREEN STREET,ADDRESS,01 BROOKLYN,BROOKLYN,995678,206469
34,35749806,03/20/2017 02:19:41 PM,04/19/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11413,141-24 181 STREET,ADDRESS,12 QUEENS,QUEENS,1050088,183642
35,35749809,03/20/2017 04:25:55 PM,04/03/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10468,20 WEST  190 STREET,ADDRESS,07 BRONX,BRONX,1011619,254114
36,35750007,03/20/2017 05:18:54 PM,04/21/2017 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,11355,42-87 MAIN STREET,ADDRESS,07 QUEENS,QUEENS,1032148,213627
37,35750359,03/20/2017 05:29:35 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11223,111 AVENUE S,ADDRESS,11 BROOKLYN,BROOKLYN,989355,158166
38,35750901,03/20/2017 04:52:24 PM,03/27/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10452,190 WEST  170 STREET,ADDRESS,04 BRONX,BRONX,1004773,246017
39,35750902,03/20/2017 02:01:34 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10452,20 EAST CLARKE PLACE,ADDRESS,04 BRONX,BRONX,1006786,244664
40,35750906,03/20/2017 11:30:13 AM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11230,706 OCEAN PARKWAY,ADDRESS,14 BROOKLYN,BROOKLYN,992072,169263
41,35750908,03/20/2017 02:13:20 PM,06/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,10467,250 EAST GUNHILL ROAD,ADDRESS,07 BRONX,BRONX,1018516,259880
42,35751033,03/20/2017 12:16:22 PM,03/28/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11426,77-15 250 STREET,ADDRESS,13 QUEENS,QUEENS,1061648,210475
43,35751035,03/20/2017 07:41:20 AM,04/06/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10039,247 WEST  145 STREET,ADDRESS,10 MANHATTAN,MANHATTAN,1000726,238846
44,35751547,03/20/2017 08:57:54 AM,04/04/2017 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,10019,712 5 AVENUE,ADDRESS,05 MANHATTAN,MANHATTAN,991122,217075
45,35751590,03/19/2017 10:03:46 PM,03/20/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10458,2308 HUGHES AVENUE,ADDRESS,06 BRONX,BRONX,1015313,250230
46,35751760,03/20/2017 10:48:13 AM,03/20/2017 10:48:13 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,10032,504 WEST  159 STREET,ADDRESS,12 MANHATTAN,MANHATTAN,1000407,243245
47,35752030,03/20/2017 07:28:49 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11212,219 SACKMAN STREET,ADDRESS,16 BROOKLYN,BROOKLYN,1010426,184343
48,35752089,03/19/2017 09:45:29 PM,03/20/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10458,2308 HUGHES AVENUE,ADDRESS,06 BRONX,BRONX,1015313,250230
49,35752678,03/20/2017 02:43:47 PM,03/20/2017 02:43:47 PM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,10467,3833 BARNES AVENUE,ADDRESS,12 BRONX,BRONX,1023125,261244
50,35752811,03/20/2017 05:13:57 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,WEST 8 STREET,ADDRESS,Unspecified MANHATTAN,MANHATTAN,,
51,35752889,03/20/2017 03:55:10 PM,03/20/2017 03:55:10 PM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,10030,139 WEST  138 STREET,ADDRESS,10 MANHATTAN,MANHATTAN,1000672,236773
52,35753042,03/20/2017 09:22:53 AM,03/20/2017 09:22:53 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10037,1960 PARK AVENUE,ADDRESS,11 MANHATTAN,MANHATTAN,1002035,234251
53,35753345,03/20/2017 01:48:39 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,10452,133 ELLIOTT PLACE,ADDRESS,04 BRONX,BRONX,1007662,244799
54,35753346,03/20/2017 08:49:06 AM,04/10/2017 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,10014,860 WASHINGTON STREET,ADDRESS,02 MANHATTAN,MANHATTAN,982196,209261
55,35753620,03/20/2017 05:35:13 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11209,237 79 STREET,ADDRESS,10 BROOKLYN,BROOKLYN,975767,168421
56,35753711,03/20/2017 05:06:18 PM,08/23/2017 12:00:00 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,,CENTRAL PARK,ADDRESS,Unspecified MANHATTAN,MANHATTAN,,
57,35753888,03/20/2017 02:19:38 PM,06/21/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11413,141-22 181 STREET,ADDRESS,12 QUEENS,QUEENS,1050088,183643
58,35753916,03/20/2017 12:09:35 PM,06/14/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11233,1618 LINCOLN PLACE,ADDRESS,08 BROOKLYN,BROOKLYN,1005523,183133
59,35753919,03/19/2017 09:28:29 PM,03/24/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11225,1680 BEDFORD AVENUE,ADDRESS,09 BROOKLYN,BROOKLYN,996192,181737
60,35753931,03/20/2017 04:09:40 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,11205,10 GRAND AVENUE,ADDRESS,02 BROOKLYN,BROOKLYN,994010,193328
61,35754176,03/20/2017 10:23:17 AM,03/20/2017 10:23:17 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,11226,4 FAIRVIEW PLACE,ADDRESS,17 BROOKLYN,BROOKLYN,998494,176662
62,35754989,03/20/2017 12:08:22 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,11233,1618 LINCOLN PLACE,ADDRESS,08 BROOKLYN,BROOKLYN,1005523,183133
63,35754990,03/20/2017 02:30:45 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10031,610 WEST  141 STREET,ADDRESS,09 MANHATTAN,MANHATTAN,997302,239524
64,20732679,06/28/2011 03:37:00 PM,07/01/2011 12:00:00 PM,DSNY,BCC - Queens West,Litter Basket / Request,10 Litter Basket / Request,11102,29-24 HOYT AVENUE SOUTH,ADDRESS,01 QUEENS,QUEENS,1006937,220056
65,35755008,03/19/2017 07:47:13 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,10312,683 LEVERETT AVENUE,ADDRESS,03 STATEN ISLAND,STATEN ISLAND,937079,141412
66,35755269,03/20/2017 11:10:21 AM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,10312,677 LEVERETT AVENUE,ADDRESS,03 STATEN ISLAND,STATEN ISLAND,937121,141420
67,35755270,03/19/2017 08:01:43 PM,03/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,10312,677 LEVERETT AVENUE,ADDRESS,03 STATEN ISLAND,STATEN ISLAND,937121,141420
68,35755294,03/21/2017 05:27:23 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator Not Inspected/Illegal/No Permit,10467,2911 BARNES AVENUE,ADDRESS,11 BRONX,BRONX,1022019,255628
69,35755454,03/21/2017 03:27:23 PM,03/21/2017 03:27:23 PM,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,10461,1917 MAYFLOWER AVENUE,ADDRESS,10 BRONX,BRONX,1030189,249060
70,35755568,03/21/2017 09:40:02 AM,03/21/2017 09:40:02 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,10027,31 WEST  126 STREET,ADDRESS,10 MANHATTAN,MANHATTAN,1000054,233505
71,35755582,03/21/2017 09:30:37 AM,03/21/2017 09:30:37 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,11234,1095 EAST   45 STREET,ADDRESS,18 BROOKLYN,BROOKLYN,1002761,170232
72,35755613,03/20/2017 08:36:54 PM,06/21/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11218,3751 18 AVENUE,ADDRESS,14 BROOKLYN,BROOKLYN,992801,170445
73,35755782,03/21/2017 04:20:17 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,10014,40 HORATIO STREET,ADDRESS,02 MANHATTAN,MANHATTAN,982915,208422
74,35755783,03/21/2017 10:02:37 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11223,1968 WEST    5 STREET,ADDRESS,11 BROOKLYN,BROOKLYN,990606,157778
75,35755785,03/21/2017 10:03:01 AM,03/27/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,11213,265 TROY AVENUE,ADDRESS,08 BROOKLYN,BROOKLYN,1001854,183462
76,35755786,03/21/2017 03:08:26 PM,08/01/2017 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),11213,873 EMPIRE BOULEVARD,ADDRESS,09 BROOKLYN,BROOKLYN,1002759,181034
77,35755794,03/21/2017 01:51:34 PM,03/29/2018 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,11212,648 ROCKAWAY AVENUE,ADDRESS,16 BROOKLYN,BROOKLYN,1009402,181271
78,35756006,03/21/2017 12:39:56 PM,03/21/2017 12:39:56 PM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11432,90-03 MERRICK BOULEVARD,ADDRESS,12 QUEENS,QUEENS,1041142,196959
79,39881966,07/31/2018 01:18:41 PM,08/05/2018 02:36:45 PM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,10002,231 ELDRIDGE STREET,ADDRESS,03 MANHATTAN,MANHATTAN,987066,202441
80,35756129,03/21/2017 11:38:04 AM,03/21/2017 11:38:04 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11221,844 PUTNAM AVENUE,ADDRESS,03 BROOKLYN,BROOKLYN,1004194,189413
81,35756131,03/21/2017 09:41:03 AM,03/21/2017 09:41:03 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,10030,180 WEST  135 STREET,ADDRESS,10 MANHATTAN,MANHATTAN,999955,236250
82,35756302,03/21/2017 11:25:13 AM,03/24/2017 12:00:00 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,10467,91 EAST  208 STREET,ADDRESS,07 BRONX,BRONX,1016958,259397
83,35756305,03/21/2017 11:03:41 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),11365,48-11 164 STREET,ADDRESS,07 QUEENS,QUEENS,1038875,212442
84,35756494,03/21/2017 10:36:37 AM,03/21/2017 10:36:37 AM,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,10035,16 EAST  126 STREET,ADDRESS,11 MANHATTAN,MANHATTAN,1000545,233226
85,35756759,03/21/2017 11:03:31 AM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11223,2271 EAST    2 STREET,ADDRESS,15 BROOKLYN,BROOKLYN,992870,155651
86,35757074,03/21/2017 10:42:43 AM,03/21/2017 10:42:43 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,11422,146-26 243 STREET,ADDRESS,13 QUEENS,QUEENS,1056105,179148
87,35757281,03/21/2017 09:46:09 AM,03/21/2017 09:46:09 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,10027,133 WEST  128 STREET,ADDRESS,10 MANHATTAN,MANHATTAN,999433,234443
88,35757368,03/21/2017 07:49:15 AM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,10468,2933 GRAND CONCOURSE,ADDRESS,07 BRONX,BRONX,1015147,256905
89,35757393,03/21/2017 04:31:31 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,10471,5400 FIELDSTON ROAD,ADDRESS,08 BRONX,BRONX,1011450,268032
90,35757843,03/21/2017 07:32:48 AM,03/21/2017 07:32:48 AM,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,11207,541 WILLIAMS AVENUE,ADDRESS,05 BROOKLYN,BROOKLYN,1012751,180599
91,35757851,03/20/2017 09:19:00 PM,06/13/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11358,198-18 30 AVENUE,ADDRESS,11 QUEENS,QUEENS,1041957,219781
92,35757874,03/21/2017 01:42:08 PM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Failure To Maintain,10462,2107 MATTHEWS AVENUE,ADDRESS,11 BRONX,BRONX,1022160,250384
93,35758111,03/21/2017 12:21:46 PM,06/03/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,,FLUSHING AVENUE,ADDRESS,Unspecified BRONX,BRONX,,
94,35758133,03/21/2017 12:04:41 PM,03/21/2017 12:04:41 PM,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,10460,800 ELSMERE PLACE,ADDRESS,06 BRONX,BRONX,1015092,246519
95,35758370,03/21/2017 08:48:55 AM,03/21/2017 08:48:55 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,10007,67 READE STREET,ADDRESS,01 MANHATTAN,MANHATTAN,982396,199782
96,35758388,03/21/2017 10:50:58 AM,03/28/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11366,73-14 192 STREET,ADDRESS,08 QUEENS,QUEENS,1045148,206649
97,35758395,03/21/2017 08:38:30 AM,03/21/2017 08:38:30 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,11221,487 MONROE STREET,ADDRESS,03 BROOKLYN,BROOKLYN,1001584,189569
98,35758409,03/20/2017 09:38:04 PM,10/02/2018 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11421,77-06 86 AVENUE,ADDRESS,09 QUEENS,QUEENS,1021646,191873
99,35757868,03/21/2017 02:06:35 PM,03/28/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11421,85-72 75 STREET,ADDRESS,09 QUEENS,QUEENS,1021129,191787
100,35758648,03/21/2017 03:38:54 PM,03/21/2017 03:38:54 PM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,EAST 96 STREET,ADDRESS,Unspecified MANHATTAN,MANHATTAN,,
101,35758880,03/21/2017 05:26:02 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10465,2850 DEWEY AVENUE,ADDRESS,10 BRONX,BRONX,1033848,238725
102,35758919,03/21/2017 10:50:47 AM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11214,2436 84 STREET,ADDRESS,11 BROOKLYN,BROOKLYN,987777,157824
103,35758921,03/21/2017 04:05:14 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11375,73-42 AUSTIN STREET,ADDRESS,06 QUEENS,QUEENS,1028765,200796
104,35758951,03/21/2017 05:33:56 PM,03/24/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11215,173 8 STREET,ADDRESS,06 BROOKLYN,BROOKLYN,987121,183980
105,35758954,03/21/2017 01:41:34 PM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11249,755 KENT AVENUE,ADDRESS,01 BROOKLYN,BROOKLYN,995273,193849
106,35758956,03/21/2017 09:59:00 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11209,237 79 STREET,ADDRESS,10 BROOKLYN,BROOKLYN,975767,168421
107,35758958,03/21/2017 08:29:04 AM,03/22/2017 12:00:00 AM,DOB,Department of Buildings,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,10465,1414 REED PLACE,ADDRESS,10 BRONX,BRONX,1034271,245841
108,35759175,03/21/2017 02:52:21 PM,04/21/2017 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,10024,307 WEST   80 STREET,ADDRESS,07 MANHATTAN,MANHATTAN,989534,225326
109,35759436,03/21/2017 09:08:42 AM,03/21/2017 09:08:42 AM,DOB,Department of Buildings,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",10301,52 BRIGHTON AVENUE,ADDRESS,01 STATEN ISLAND,STATEN ISLAND,959674,171386
110,35759450,03/21/2017 09:59:03 AM,03/29/2017 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,11208,675 LINCOLN AVENUE,ADDRESS,05 BROOKLYN,BROOKLYN,1021300,184378
111,35760220,03/20/2017 11:12:41 PM,06/02/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11422,245-20 135 AVENUE,ADDRESS,13 QUEENS,QUEENS,1059109,183755
112,35760221,03/21/2017 08:20:49 AM,03/23/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11214,60 BAY   26 STREET,ADDRESS,11 BROOKLYN,BROOKLYN,984821,158834
